Designator,Mid X,Mid Y,Rotation,Layer
D1,113.713185,-141.59943,190.0,top
D10,71.605447,-135.252029,166.0,top
D11,72.155447,-133.152029,165.0,top
D12,72.755447,-131.052029,163.0,top
D13,101.089632,-140.162085,35.0,top
D14,83.9,-139.95,130.0,top
D2,113.263185,-139.44943,194.0,top
D3,112.613185,-137.29943,200.0,top
D4,111.813185,-135.29943,202.0,top
D5,110.913185,-133.29943,205.0,top
D6,109.813185,-131.29943,210.0,top
D7,70.305447,-141.652029,172.0,top
D8,70.655447,-139.502029,170.0,top
D9,71.105447,-137.352029,167.5,top
R1,56.1,-158.45,330.0,top
R10,98.858454,-147.048637,280.0,top
R2,55.35,-160.25,345.0,top
R3,55.25,-162.25,5.0,top
R4,57.100984,-156.963457,320.0,top
R5,58.69375,-155.659752,300.0,top
R6,60.463828,-154.968593,285.0,top
R7,98.85,-143.448637,260.0,top
R8,84.75,-143.95,260.0,top
R9,83.05,-147.3,220.0,top
SW1,91.8,-144.25,0.0,top
SW2,91.8,-150.249999,0.0,top
SW3,91.75,-137.95,0.0,top
U1,90.717501,-107.238999,0.0,bottom
